animal_name,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type,Class_Number,Number_Of_Animal_Species_In_Class,Class_Type,Animal_Names,habitat,diet,conservation_status
PONY,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
PORPOISE,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
PUMA,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
PUSSYCAT,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
RACCOON,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
REINDEER,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
RHEA,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
SCORPION,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,7,7,10,Invertebrate,"CLAM, CRAB, CRAYFISH, LOBSTER, OCTOPUS, SCORPION, SEAWASP, SLUG, STARFISH, WORM",,,
SEAHORSE,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4,13,Fish,"BASS, CARP, CATFISH, CHUB, DOGFISH, HADDOCK, HERRING, PIKE, PIRANHA, SEAHORSE, SOLE, STINGRAY, TUNA",,,
SEAL,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
SEALION,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
SEASNAKE,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,3,3,5,Reptile,"PITVIPER, SEASNAKE, SLOWWORM, TORTOISE, TUATARA",,,
SEAWASP,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,7,7,10,Invertebrate,"CLAM, CRAB, CRAYFISH, LOBSTER, OCTOPUS, SCORPION, SEAWASP, SLUG, STARFISH, WORM",,,
SKIMMER,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
SKUA,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
SLOWWORM,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,3,3,5,Reptile,"PITVIPER, SEASNAKE, SLOWWORM, TORTOISE, TUATARA",,,
SLUG,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,10,Invertebrate,"CLAM, CRAB, CRAYFISH, LOBSTER, OCTOPUS, SCORPION, SEAWASP, SLUG, STARFISH, WORM",,,
SOLE,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,4,4,13,Fish,"BASS, CARP, CATFISH, CHUB, DOGFISH, HADDOCK, HERRING, PIKE, PIRANHA, SEAHORSE, SOLE, STINGRAY, TUNA",,,
SPARROW,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
SQUIRREL,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
STARFISH,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,7,7,10,Invertebrate,"CLAM, CRAB, CRAYFISH, LOBSTER, OCTOPUS, SCORPION, SEAWASP, SLUG, STARFISH, WORM",,,
STINGRAY,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,4,4,13,Fish,"BASS, CARP, CATFISH, CHUB, DOGFISH, HADDOCK, HERRING, PIKE, PIRANHA, SEAHORSE, SOLE, STINGRAY, TUNA",,,
SWAN,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
TERMITE,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,6,6,8,Bug,"FLEA, GNAT, HONEYBEE, HOUSEFLY, LADYBIRD, MOTH, TERMITE, WASP",,,
TOAD,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,5,5,4,Amphibian,"FROG, FROG, NEWT, TOAD",,,
TORTOISE,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,3,3,5,Reptile,"PITVIPER, SEASNAKE, SLOWWORM, TORTOISE, TUATARA",,,
TUATARA,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,3,3,5,Reptile,"PITVIPER, SEASNAKE, SLOWWORM, TORTOISE, TUATARA",,,
TUNA,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,4,4,13,Fish,"BASS, CARP, CATFISH, CHUB, DOGFISH, HADDOCK, HERRING, PIKE, PIRANHA, SEAHORSE, SOLE, STINGRAY, TUNA",,,
VAMPIRE,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
VOLE,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
VULTURE,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
WALLABY,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
WASP,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,6,6,8,Bug,"FLEA, GNAT, HONEYBEE, HOUSEFLY, LADYBIRD, MOTH, TERMITE, WASP",,,
WOLF,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,1,1,41,Mammal,"AARDVARK, ANTELOPE, BEAR, BOAR, BUFFALO, CALF, CAVY, CHEETAH, DEER, DOLPHIN, ELEPHANT, FRUITBAT, GIRAFFE, GIRL, GOAT, GORILLA, HAMSTER, HARE, LEOPARD, LION, LYNX, MINK, MOLE, MONGOOSE, OPOSSUM, ORYX, PLATYPUS, POLECAT, PONY, PORPOISE, PUMA, PUSSYCAT, RACCOON, REINDEER, SEAL, SEALION, SQUIRREL, VAMPIRE, VOLE, WALLABY, WOLF",,,
WORM,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,7,10,Invertebrate,"CLAM, CRAB, CRAYFISH, LOBSTER, OCTOPUS, SCORPION, SEAWASP, SLUG, STARFISH, WORM",,,
WREN,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,2,2,20,Bird,"CHICKEN, CROW, DOVE, DUCK, FLAMINGO, GULL, HAWK, KIWI, LARK, OSTRICH, PARAKEET, PENGUIN, PHEASANT, RHEA, SKIMMER, SKUA, SPARROW, SWAN, VULTURE, WREN",,,
